iter	Passed	Remaining
0	61	61122
1	117	58436
2	181	60337
3	238	59388
4	295	58818
5	351	58282
6	410	58169
7	470	58327
8	525	57898
9	581	57551
10	637	57345
11	723	59593
12	785	59657
13	840	59193
14	894	58740
15	948	58349
16	999	57818
17	1056	57643
18	1123	58026
19	1190	58357
20	1260	58749
21	1311	58308
22	1365	58018
23	1419	57742
24	1468	57252
25	1524	57103
26	1572	56685
27	1621	56293
28	1678	56185
29	1728	55886
30	1775	55502
31	1823	55155
32	1875	54946
33	1927	54759
34	1973	54412
35	2020	54115
36	2067	53803
37	2114	53541
38	2171	53508
39	2216	53198
40	2268	53053
41	2312	52741
42	2359	52516
43	2414	52458
44	2460	52208
45	2507	52012
46	2552	51761
47	2601	51593
48	2656	51554
49	2702	51341
50	2749	51159
51	2790	50871
52	2836	50677
53	2882	50496
54	2935	50444
55	2980	50249
56	3027	50081
57	3075	49950
58	3119	49748
59	3166	49606
60	3211	49435
61	3255	49249
62	3317	49340
63	3378	49410
64	3422	49237
65	3469	49094
66	3522	49056
67	3569	48928
68	3625	48916
69	3670	48768
70	3719	48672
71	3772	48620
72	3821	48531
73	3877	48515
74	3926	48430
75	3968	48254
76	4017	48152
77	4068	48094
78	4116	47990
79	4172	47988
80	4224	47925
81	4265	47758
82	4310	47621
83	4351	47453
84	4406	47429
85	4447	47266
86	4488	47104
87	4538	47035
88	4589	46973
89	4645	46972
90	4693	46879
91	4734	46727
92	4774	46562
93	4827	46524
94	4870	46394
95	4919	46323
96	5063	47137
97	5116	47096
98	5162	46985
99	5213	46923
100	5261	46835
101	5306	46715
102	5354	46631
103	5412	46630
104	5468	46611
105	5513	46499
106	5566	46460
107	5616	46386
108	5669	46341
109	5708	46184
110	5751	46067
111	5801	45998
112	5844	45880
113	5884	45730
114	5926	45606
115	5970	45501
116	6016	45407
117	6063	45324
118	6106	45207
119	6153	45125
120	6198	45032
121	6242	44926
122	6291	44855
123	6334	44748
124	6375	44631
125	6427	44581
126	6467	44457
127	6516	44391
128	6560	44297
129	6610	44238
130	6650	44119
131	6691	44001
132	6739	43935
133	6789	43880
134	6829	43761
135	6876	43688
136	6921	43600
137	6972	43554
138	7016	43462
139	7058	43357
140	7102	43268
141	7149	43199
142	7193	43108
143	7239	43033
144	7283	42946
145	7326	42854
146	7367	42754
147	7405	42632
148	7457	42595
149	7498	42491
150	7550	42450
151	7600	42401
152	7640	42298
153	7746	42554
154	7814	42600
155	7881	42641
156	7945	42661
157	8011	42691
158	8080	42742
159	8145	42766
160	8205	42761
161	8269	42778
162	8326	42753
163	8375	42692
164	8433	42680
165	8491	42663
166	8544	42620
167	8600	42593
168	8654	42556
169	8702	42486
170	8752	42431
171	8806	42392
172	8855	42331
173	8905	42276
174	8959	42237
175	9138	42783
176	9290	43196
177	9372	43282
178	9451	43351
179	9501	43286
180	9580	43350
181	9640	43328
182	9701	43312
183	9768	43320
184	9838	43342
185	9887	43270
186	9948	43253
187	10002	43201
188	10086	43280
189	10147	43260
190	10214	43266
191	10265	43201
192	10367	43348
193	10429	43329
194	10482	43272
195	10565	43341
196	10633	43345
197	10680	43260
198	10736	43214
199	10780	43123
200	10866	43195
201	10919	43138
202	10975	43091
203	11031	43044
204	11114	43104
205	11164	43030
206	11219	42979
207	11313	43077
208	11377	43061
209	11429	42996
210	11485	42949
211	11543	42907
212	11605	42878
213	11670	42863
214	11762	42946
215	11810	42867
216	11889	42899
217	11955	42884
218	12009	42829
219	12109	42932
220	12175	42915
221	12233	42871
222	12292	42830
223	12386	42911
224	12443	42861
225	12496	42796
226	12590	42875
227	12652	42839
